City,State,Year,accommodation_food,admin_support,agriculture,arts_entertainment,construction,education,finance,healthcare,information,management,manufacturing,mining,other_services,professional_services,real_estate,retail,transportation,utilities,wholesale
Addis,LA,2019,0.0,,,,-0.14285714285714285,,,0.3333333333333333,,,0.0,,0.16666666666666666,,,0.0,,,-0.2
Alameda,CA,2019,0.008620689655172414,0.07142857142857142,,0.11428571428571428,0.0,0.0784313725490196,-0.09090909090909091,-0.004347826086956522,0.046511627906976744,-0.06666666666666667,-0.04838709677419355,,-0.046153846153846156,0.003861003861003861,0.056818181818181816,-0.03529411764705882,-0.03333333333333333,,0.07462686567164178
Albuquerque,NM,2019,0.008037508372404554,-0.008174386920980926,,0.043478260869565216,0.0007518796992481203,-0.024896265560165973,0.007345225603357817,-0.0005167958656330749,0.03237410071942446,0.043010752688172046,0.03195488721804511,-0.14285714285714285,-0.0063604240282685515,-0.006557377049180328,0.0031088082901554403,0.001037344398340249,0.014450867052023121,0.0,-0.006501950585175552
Alexandria,VA,2019,0.015647226173541962,-0.001976284584980237,,0.0,0.03495145631067961,0.011764705882352941,0.01078167115902965,0.03937947494033413,-0.006172839506172839,-0.021739130434782608,-0.05063291139240506,,-0.012172284644194757,-0.02143260011280316,0.014084507042253521,0.007585335018963337,-0.06504065040650407,,-0.06875
Aliso Viejo,CA,2019,-0.047619047619047616,0.05,,-0.038461538461538464,-0.04878048780487805,0.09375,-0.031007751937984496,0.05660377358490566,0.043478260869565216,0.058823529411764705,0.15625,,-0.04054054054054054,0.009259259259259259,0.07526881720430108,-0.04054054054054054,0.043478260869565216,0.0,0.08163265306122448
Allen,TX,2019,0.07083333333333333,0.00847457627118644,,0.18421052631578946,-0.019736842105263157,0.01639344262295082,0.0547945205479452,0.04156479217603912,0.15217391304347827,-0.125,0.08571428571428572,,-0.031746031746031744,0.02102803738317757,0.022556390977443608,0.046511627906976744,0.05555555555555555,,-0.020833333333333332
Alpharetta,GA,2019,0.02333931777378815,-0.007272727272727273,1.0,0.061946902654867256,0.016563146997929608,0.04,0.030165912518853696,0.03372434017595308,0.040955631399317405,-0.007462686567164179,-0.006097560975609756,,0.026970954356846474,0.021984216459977453,0.009259259259259259,0.03678474114441417,0.0,0.0,-0.053003533568904596
Altoona,IA,2019,0.0,0.08333333333333333,0.0,0.2857142857142857,0.15384615384615385,,0.13793103448275862,0.023809523809523808,-0.2,,-0.2,,0.07692307692307693,0.0625,0.2608695652173913,0.10975609756097561,0.0,,0.0
Alvin,TX,2019,-0.011764705882352941,-0.05,,0.09090909090909091,-0.045454545454545456,1.3333333333333333,0.06666666666666667,-0.04918032786885246,-0.125,,-0.046511627906976744,-0.25,0.014084507042253521,0.05357142857142857,-0.14634146341463414,0.0625,0.1111111111111111,,0.0
American Fork,UT,2019,-0.04918032786885246,0.14666666666666667,,0.1111111111111111,0.03888888888888889,0.0,0.022727272727272728,-0.004761904761904762,0.023255813953488372,0.09090909090909091,0.06666666666666667,,-0.011111111111111112,-0.017857142857142856,0.04918032786885246,-0.004366812227074236,0.038461538461538464,,-0.12280701754385964
Anaheim,CA,2019,0.004634994206257242,0.02335456475583864,,0.08,0.021052631578947368,0.05217391304347826,0.04105571847507331,0.014895729890764648,-0.1076923076923077,-0.06329113924050633,-0.02962962962962963,,-0.013490725126475547,0.0275,0.0,0.006002400960384154,0.1419753086419753,0.0,0.001160092807424594
Ann Arbor,MI,2019,0.0019193857965451055,0.017937219730941704,,0.0196078431372549,-0.015151515151515152,-0.06930693069306931,0.003355704697986577,0.011214953271028037,-0.027932960893854747,-0.02040816326530612,-0.023529411764705882,,-0.008849557522123894,0.01945945945945946,-0.017543859649122806,-0.02878787878787879,0.0,0.09090909090909091,-0.02631578947368421
Annapolis,MD,2019,0.00949367088607595,0.011976047904191617,,0.0,0.03734439834024896,0.044444444444444446,-0.010676156583629894,-0.022988505747126436,-0.0379746835443038,-0.08,0.017241379310344827,,-0.018421052631578946,-0.020689655172413793,0.011049723756906077,-0.015463917525773196,0.07407407407407407,0.0,0.0472972972972973
Antioch,TN,2019,0.02,-0.10294117647058823,,0.18181818181818182,0.02631578947368421,-0.14285714285714285,0.0,0.0,0.15384615384615385,0.0,0.18181818181818182,,0.06172839506172839,0.16129032258064516,0.13725490196078433,-0.032,0.05714285714285714,,-0.024390243902439025
Apache Junction,AZ,2019,-0.031746031746031744,-0.075,,-0.07142857142857142,-0.025423728813559324,0.25,-0.03571428571428571,-0.012658227848101266,-0.2727272727272727,,0.09090909090909091,,0.014925373134328358,0.06060606060606061,0.05263157894736842,0.014925373134328358,0.15,,0.08695652173913043
Apex,NC,2019,-0.02702702702702703,0.064,0.25,0.21739130434782608,0.027522935779816515,0.12121212121212122,0.028985507246376812,-0.012422360248447204,-0.16666666666666666,0.0,0.045454545454545456,,0.08695652173913043,0.05387205387205387,0.1724137931034483,0.041176470588235294,-0.07142857142857142,0.0,-0.05263157894736842
Apopka,FL,2019,0.024390243902439025,0.029556650246305417,,0.034482758620689655,0.03940886699507389,-0.041666666666666664,0.0,-0.017341040462427744,-0.10256410256410256,,0.013157894736842105,,0.025974025974025976,0.02,0.030927835051546393,-0.017094017094017096,0.11363636363636363,,0.03597122302158273
Arlington,TX,2019,0.028894472361809045,0.018518518518518517,,0.16091954022988506,0.013182674199623353,0.011363636363636364,0.022,-0.007455731593662628,-0.015384615384615385,0.10638297872340426,0.003816793893129771,,0.021613832853025938,-0.021686746987951807,0.06201550387596899,-0.020104895104895104,-0.03414634146341464,,-0.034739454094292806
Arlington,VA,2019,0.05972434915773354,0.040892193308550186,,0.07547169811320754,-0.02564102564102564,-0.058823529411764705,-0.01509433962264151,0.026923076923076925,-0.004975124378109453,0.1111111111111111,0.058823529411764705,,-0.001201923076923077,0.005356186395286556,0.04565217391304348,-0.009578544061302681,0.11267605633802817,,-0.012048192771084338
Ashburn,VA,2019,-0.05583756345177665,0.011235955056179775,,-0.06818181818181818,0.019230769230769232,-0.023255813953488372,-0.010416666666666666,0.08050847457627118,-0.025210084033613446,0.36363636363636365,-0.058823529411764705,,0.11392405063291139,0.06266786034019696,0.09821428571428571,0.021739130434782608,0.2,,-0.06
Asheville,NC,2019,0.03268945022288262,0.03383458646616541,,0.007194244604316547,0.06451612903225806,0.017699115044247787,-0.006230529595015576,0.0048134777376654635,0.008547008547008548,-0.08695652173913043,0.03333333333333333,,0.016981132075471698,0.02741514360313316,0.029055690072639227,-0.0055248618784530384,-0.029850746268656716,0.0,-0.004694835680751174
