City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2011_yoy,2012_yoy,2013_yoy,2014_yoy,2015_yoy,2016_yoy,2017_yoy,2018_yoy,2019_yoy,2020_yoy,2021_yoy,2022_yoy,2023_yoy,2024_yoy
Alameda,CA,73946.0,74692.0,75637.0,76479.0,77509.0,78459.0,79091.0,79037.0,78344.0,77624.0,78117.0,76603.0,75894.0,76791.0,78795.0,0.0100884429178048,0.012651957371606,0.0111321178788159,0.0134677493168059,0.0122566411642518,0.008055162568985,-0.0006827578359105,-0.0087680453458506,-0.0091902379250485,0.0063511285169535,-0.0193811846333064,-0.0092555121862068,0.0118191161356628,0.0260968082197132
Albuquerque,NM,546755.0,552066.0,555002.0,557445.0,557444.0,557937.0,559192.0,559673.0,559629.0,560513.0,564885.0,563441.0,561422.0,561094.0,560326.0,0.009713674314821,0.0053182047074081,0.0044017859395101,-1.7938989496721649e-06,0.0008843937687014,0.0022493579024155,0.0008601696733858,-7.861733547982482e-05,0.001579617925447,0.007799997502288,-0.0025562725156447,-0.0035833388056602,-0.0005842307568994,-0.0013687546115267
Alexandria,VA,140729.0,144219.0,147291.0,149637.0,151375.0,153654.0,156698.0,159215.0,159069.0,159428.0,159144.0,155129.0,155235.0,156271.0,159102.0,0.0247994372162098,0.0213009381565535,0.0159276534207792,0.0116147744207649,0.0150553261767134,0.0198107436187798,0.0160627448978289,-0.0009169990264736,0.0022568822334961,-0.0017813683920014,-0.0252287236716432,0.0006833022839056,0.0066737526975231,0.0181159652142752
Aliso Viejo,CA,47801.0,48474.0,49038.0,49538.0,49542.0,49499.0,50858.0,50982.0,51206.0,50887.0,52076.0,51517.0,51005.0,50572.0,50457.0,0.0140792033639463,0.0116351033543755,0.0101961743953668,8.074609390770722e-05,-0.0008679504259012,0.0274551001030323,0.0024381611545872,0.0043937075830685,-0.0062297387024958,0.0233654960992001,-0.0107343113910438,-0.0099384669138342,-0.0084893637878639,-0.0022739856046824
Allen,TX,84921.0,87680.0,89812.0,92173.0,94215.0,98344.0,99742.0,101214.0,103577.0,105623.0,105556.0,107088.0,112068.0,112852.0,113746.0,0.0324890192060856,0.0243156934306569,0.0262882465594798,0.0221539930348366,0.0438252932123334,0.014215407142276,0.0147580758356559,0.0233465726085324,0.0197534201608465,-0.0006343315376385,0.0145136231005343,0.0465038099506947,0.0069957525787914,0.0079218799844043
Alpharetta,GA,57691.0,59141.0,61577.0,61937.0,62693.0,63337.0,65411.0,65734.0,66257.0,67213.0,65966.0,66225.0,67378.0,67366.0,67275.0,0.0251339030351354,0.0411896991934529,0.0058463387303701,0.012205951208486,0.0102722792018247,0.0327454726305319,0.0049380073687911,0.007956308759546,0.0144286641411473,-0.0185529585050511,0.0039262650456295,0.0174103435258588,-0.0001780996764522,-0.0013508297954457
Anaheim,CA,336760.0,339831.0,342071.0,343832.0,344604.0,348251.0,350013.0,350476.0,350698.0,350365.0,346665.0,344803.0,343626.0,342883.0,344561.0,0.0091192540681791,0.0065915116631502,0.0051480540589526,0.0022452825798645,0.0105831621223201,0.0050595691038934,0.0013228080099882,0.0006334242572957,-0.0009495349274874,-0.0105604155666233,-0.005371179669133,-0.0034135433856433,-0.0021622345224168,0.0048937975927648
Ann Arbor,MI,114173.0,115539.0,116079.0,116820.0,118716.0,119884.0,120919.0,121493.0,121429.0,119980.0,123757.0,119603.0,121274.0,122645.0,122925.0,0.0119642997906685,0.0046737465271466,0.0063835835939317,0.0162300975860297,0.0098386064220492,0.0086333455673818,0.0047469793828926,-0.0005267793206192,-0.0119328990603562,0.0314802467077846,-0.0335657780974005,0.0139712214576557,0.0113049788083183,0.0022830119450446
Apex,NC,37991.0,38999.0,40659.0,42388.0,44064.0,45652.0,47543.0,50524.0,53859.0,59300.0,65212.0,68264.0,71129.0,72796.0,75977.0,0.0265325998262746,0.0425651939793328,0.0425244103396542,0.039539492309144,0.036038489469862,0.0414220625602383,0.0627011337105357,0.0660082337107117,0.1010230416457788,0.0996964586846543,0.0468012022327179,0.0419694128676901,0.023436291807842,0.0436974559041705
Arlington,TX,365892.0,370253.0,375629.0,378950.0,382721.0,388728.0,394384.0,397173.0,398123.0,398854.0,394380.0,393559.0,395943.0,401203.0,403672.0,0.0119188175745848,0.0145198013250399,0.0088411704101653,0.0099511808945771,0.0156955066484462,0.0145500195509456,0.0070717879021461,0.0023919047870827,0.0018361159742089,-0.0112171370977851,-0.0020817485673715,0.0060575415630185,0.0132847404803216,0.0061539918694526
