Deal ID,Property ID,Status,Type,Subtype,Features,Hotel Franchise,Market,Date,Property Name,Address,City,State,Country,Postal Code,Unit Count,sf,Yr Built,Yr Renov,Est Completion,# Bldgs,# Floors,Land Area (acres),Occupancy,Prop/Deal,Price ($),Currency,$/Units,$/sf,$/MW,Price Qualifier,Partial Interest,Partial Inv Vol ($),Cap Rate,Cap Rate Qualifier,Owner/Buyer,Buyer's Broker,Seller,Seller's Broker,Lender,Comments or Notes,Latitude,Longitude,County,Submarket,MSA,CBSA,APN,Deed,Beds,Units
4225503,4290845,Sale,Apartment,Mid/Highrise,,,Miami/Dade Co,Oct-25,Remi on the River,999 Northwest 7th St,Miami,FL,United States,33136,342,,2023,,,1,,6.31,,1 of 1,"108,250,000.00",$,"316,520",,0,approx,,"108,250,000",,,Mohsin Ilyas; Ahmad Abdelaziz,,"AEW Capital, Mast Capital",,,Mid/Highrise property; ,25.780796,-80.211945,Miami-Dade County,Miami - Proper,5000,33100,"0131350290020, 01-3135-105-0010",,,Between 300 - 400 Units
4226058,4291426,Sale,Apartment,Garden,,,Dallas,Sep-25,Cross Timbers Apartments,1905 Centerpoint Ln,Greenville,TX,United States,75402,216,,2021,,,9,3,13.47,,1 of 1,"32,400,000.00",$,"150,000",,0,approx,,"32,400,000",,,Troesh Family Foundation,Cushman & Wakefield,GVD Construction,Cushman & Wakefield,HUD ($28m approx),Garden property; buyer assumed mtg; ,33.096202,-96.102228,Hunt County,Dallas Other,1920,19100,26917,17491; 17492,,Between 200 - 300 Units
4219903,,Sale,Apartment,,,,,Sep-25,SEKC Portfolio Kansas City MSA,1 of 4 properties,,,,,527,,,,,,,,,,n/a,,,,,est,,,,private,Osso Capital,,Sallee Real Estate Investments LLC,Walker & Dunlop,,4 property portfolio.,,,,,,,,,,Greater than 400 Units
4219903,4284692,Sale,Apartment,Garden,townhouse,,Kansas City,Sep-25,Chapman Ridge,236 SW Little Garden Ln,Blue Springs,MO,United States,64064,146,"216,380",2020,2024,,,,,,1 of 4,n/a,$,,,0,est,,n/a,,private,Osso Capital,,Sallee Real Estate Investments LLC,Walker & Dunlop,,Garden/townhouse property; ,38.944015,-94.266084,Jackson County,Kansas City - Proper,3760,28140,,,,Between 100 - 200 Units
4222031,4287033,Sale,Apartment,Mid/Highrise,,,Jacksonville,Sep-25,Presidium Park,8181 a C Skinner Pkwy,Jacksonville,FL,United States,32256,342,,2024,,,4,,14.38,,1 of 1,"68,500,000.00",$,"200,292",,0,approx,,"68,500,000",,,White Oak Partners,,Presidium Group,,US Bancorp ($54m approx),Mid/Highrise property; ,30.248670,-81.566339,Duval County,Duval/Nassau,3600,27260,1542710100,,,Between 300 - 400 Units
4219281,4283989,Sale,Apartment,Garden,,,Nashville,Sep-25,Meridian Park,1801 Meridian St,Nashville,TN,United States,37207,158,"149,700",2021,,,11,,8.40,,1 of 1,"39,003,000.00",$,"246,854",261,0,confm'd,,"39,003,000",,,Oak Point Real Estate,,Pearlmark RE Partners,CBRE,Brightspire Capital ($30m approx),Garden property; prior sale: Feb-20 ($4.7m); ,36.203686,-86.764533,Davidson County,Nashville - Proper,5360,34980,"07107023200, 07107024400, 07111008100, 07107023300, 07107023400, 071-07-0-233, 071-07-0-232, 071-07-0-244",74928; 74929,,Between 100 - 200 Units
4219318,4284029,Sale,Apartment,Garden,,,"All Others - MS,AL",Sep-25,Flats at East Bay,9376 Twin Beech Rd,Fairhope,AL,United States,36532,240,,2024,,,10,3,,,1 of 1,"49,800,000.00",$,"207,500",,0,approx,,"49,800,000",,,Oakley Group,,Stoa Group,Cushman & Wakefield,,Garden property; ,30.500937,-87.862801,Baldwin County,All Others - AL,5160,19300,4608270000002537,,,Between 200 - 300 Units
4219999,4284777,Sale,Apartment,Mid/Highrise,,,Kansas City,Sep-25,Legends 267,1879 Village West Pkwy,Kansas City,KS,United States,66111,267,"510,000",2024,,,1,8,,91%,1 of 1,n/a,$,,,0,est,,n/a,,,Hamilton Zanze & Co,,"EPC Real Estate Group, Legacy Development",CBRE,,91% occ.;Mid/Highrise property; ,39.128099,-94.829033,Wyandotte County,Kansas City - Other,3760,28140,,,,Between 200 - 300 Units
4224389,4289570,Sale,Apartment,Garden,,,Atlanta,Sep-25,Timberline View,1520 Laurel Crossing Pkwy NE,Buford,GA,United States,30519,360,,2023,,,14,"3, 4",,,1 of 1,"110,000,000.00",$,"305,556",,0,approx,,"110,000,000",,,"DBG Properties LLC, GSL Properties",,"Rockpoint Capital, Related Cos",,,Garden property; ,34.056545,-83.985245,Gwinnett County,Gwinnett,520,12060,R7145 077,,,Between 300 - 400 Units
4218673,,Sale,Apartment,,,,,Sep-25,Washington RE Holdings WA Apt Portfolio 2025,2 of 5 properties,,,,,903,,,,,,,,,,"230,450,000.0  of 400,800,000.0 ",,,,,confm'd,,,,,Security Properties,,Washington RE Holdings,,Freddie Mac ($75m approx),5 property portfolio.,,,,,,,,,,Greater than 400 Units
